category,text
Media,july 8 2019 broadcast android androjavamediatutorial previously created “ hiddenlivecamera ” library android github received issue geminird indicating phone responded described reason geminird asked live audio stream another post wrote broadcasting media files mp3 using mixxx icecast post write library use android projects order publish stream android code library grabbed coolmic live audio android library created library coolmic code listed icecast client library code found github live audio repository addition published aar library included android applications making life easier … using library needed configure stream server icecast android client using liveaudio android library library code accessible github repository icecast side config icecast audio stream server choice using post broadcasting start configuration tutorial used following stream source config icecast mount type= normal mount-name /harleyquinn /mount-name username joker /username password hackme /password max-listeners 2 /max-listeners max-listener-duration 360000 /max-listener-duration dump-file /tmp/harley.ogg /dump-file charset iso8859-1 /charset public 1 /public stream-name harley quinn radio /stream-name stream-description listen live audio gotham joker /stream-description genre heavy /genre bitrate 64 /bitrate type application/ogg /type subtype vorbis /subtype hidden 1 /hidden burst-size 65536 /burst-size mp3-metadata-interval 4096 /mp3-metadata-interval on-connect /home/icecast/bin/source-start /on-connect on-disconnect /home/icecast/bin/source-end /on-disconnect /mount start icecast using settings similar android side library published jcenter use android project assume using gradle like implementation 'ir.mstajbakhsh.android liveaudio:1.0.0' adding library one set config object icecase configuration like config c new config c.host `` 192.168.43.194 c.port 8000 c.username `` joker c.password `` hackme c.mount `` /harleyquinn c.samplerate 16000 pass config object liveaudio object liveaudio l new liveaudio c try l.start catch exception e e.printstacktrace everything ok. start application broadcast video broadcast android created demo video using liveaudio live audio library action android broadcast library live currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Tutorial,july 8 2019 broadcast android androjavamediatutorial previously created “ hiddenlivecamera ” library android github received issue geminird indicating phone responded described reason geminird asked live audio stream another post wrote broadcasting media files mp3 using mixxx icecast post write library use android projects order publish stream android code library grabbed coolmic live audio android library created library coolmic code listed icecast client library code found github live audio repository addition published aar library included android applications making life easier … using library needed configure stream server icecast android client using liveaudio android library library code accessible github repository icecast side config icecast audio stream server choice using post broadcasting start configuration tutorial used following stream source config icecast mount type= normal mount-name /harleyquinn /mount-name username joker /username password hackme /password max-listeners 2 /max-listeners max-listener-duration 360000 /max-listener-duration dump-file /tmp/harley.ogg /dump-file charset iso8859-1 /charset public 1 /public stream-name harley quinn radio /stream-name stream-description listen live audio gotham joker /stream-description genre heavy /genre bitrate 64 /bitrate type application/ogg /type subtype vorbis /subtype hidden 1 /hidden burst-size 65536 /burst-size mp3-metadata-interval 4096 /mp3-metadata-interval on-connect /home/icecast/bin/source-start /on-connect on-disconnect /home/icecast/bin/source-end /on-disconnect /mount start icecast using settings similar android side library published jcenter use android project assume using gradle like implementation 'ir.mstajbakhsh.android liveaudio:1.0.0' adding library one set config object icecase configuration like config c new config c.host `` 192.168.43.194 c.port 8000 c.username `` joker c.password `` hackme c.mount `` /harleyquinn c.samplerate 16000 pass config object liveaudio object liveaudio l new liveaudio c try l.start catch exception e e.printstacktrace everything ok. start application broadcast video broadcast android created demo video using liveaudio live audio library action android broadcast library live currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
IoT,july 2 2019 making home smarter iotpersonal previously installed home assistant ha home attached temperature humidity sensor tweeted home assistant times ago added features customizing ui growth sensors smart elements home customized ha interface split sensors following categories weathercctvmedianews weather two weather sources current smart home one source darksky sensor old temperature humidity sensor shows weather conditions inside home home assistant – weather cctv added cctv cams attached ha finding preview links bit annoying finally added home assistant – cctv media devices previous configuration chrome cast samsung tv added section home assistant – media manager news used instructions home assistant feed parser needed improvement support rtl languages display improvements changed rss feed news added ha home assistant – news feed next home assistant ha currently working adding images rss feeds free time like create smart mirror attach ha attach sensors let hope goes well demo ha uploaded video captured ha youtube cctv home assistant media home rss sensor smart home weather currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Personal,july 2 2019 making home smarter iotpersonal previously installed home assistant ha home attached temperature humidity sensor tweeted home assistant times ago added features customizing ui growth sensors smart elements home customized ha interface split sensors following categories weathercctvmedianews weather two weather sources current smart home one source darksky sensor old temperature humidity sensor shows weather conditions inside home home assistant – weather cctv added cctv cams attached ha finding preview links bit annoying finally added home assistant – cctv media devices previous configuration chrome cast samsung tv added section home assistant – media manager news used instructions home assistant feed parser needed improvement support rtl languages display improvements changed rss feed news added ha home assistant – news feed next home assistant ha currently working adding images rss feeds free time like create smart mirror attach ha attach sensors let hope goes well demo ha uploaded video captured ha youtube cctv home assistant media home rss sensor smart home weather currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
AndroJava,june 3 2019 android spy camera androjavaprogrammingrat researching android malware features compare found actually support live video stream android camera aka spy camera one supports live camera needs activity therefore started hidden spy camera project live stream video android camera rtmp server without activity named live hidden camera live hidden camera action idea spy camera told main idea lack live stream libraries wanted know android camera works rats benefits spy camera searched found github repository containing android rats rat found live stream ability androrat needs activity video stream androrat found open source libraries used video streaming android get picture camera audio microphone encode sync finally send stream server list opensource video streaming libraries https //github.com/begeekmyfriend/yaseahttps //github.com/ant-media/livevideobroadcasterhttps //github.com/takusemba/rtmppublisherhttps //github.com/fyhertz/libstreaming libraries needs surfaceview graphical element fr displaying camera preview user android security mechanism camera preview displayed user capturing camera therefore searched hiding camera preview found https //github.com/kevalpatel2106/android-hidden-camera exactly overlays dummy surfaceview size 1 1. library used taking pictures streaming live hidden camera born idea hidden streaming found based android-hidden-camera yasea main work merging bit annoying finally done aim streaming server used ant media server community edition free opensource forked red5 manual running ant media server ant media server final stage creating library others use library source code available github repository https //github.com/mirsamantajbakhsh/livehiddencamera/ happy streaming live hidden camera action android camera java live rat rtmp stream currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Programming,june 3 2019 android spy camera androjavaprogrammingrat researching android malware features compare found actually support live video stream android camera aka spy camera one supports live camera needs activity therefore started hidden spy camera project live stream video android camera rtmp server without activity named live hidden camera live hidden camera action idea spy camera told main idea lack live stream libraries wanted know android camera works rats benefits spy camera searched found github repository containing android rats rat found live stream ability androrat needs activity video stream androrat found open source libraries used video streaming android get picture camera audio microphone encode sync finally send stream server list opensource video streaming libraries https //github.com/begeekmyfriend/yaseahttps //github.com/ant-media/livevideobroadcasterhttps //github.com/takusemba/rtmppublisherhttps //github.com/fyhertz/libstreaming libraries needs surfaceview graphical element fr displaying camera preview user android security mechanism camera preview displayed user capturing camera therefore searched hiding camera preview found https //github.com/kevalpatel2106/android-hidden-camera exactly overlays dummy surfaceview size 1 1. library used taking pictures streaming live hidden camera born idea hidden streaming found based android-hidden-camera yasea main work merging bit annoying finally done aim streaming server used ant media server community edition free opensource forked red5 manual running ant media server ant media server final stage creating library others use library source code available github repository https //github.com/mirsamantajbakhsh/livehiddencamera/ happy streaming live hidden camera action android camera java live rat rtmp stream currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
RAT,june 3 2019 android spy camera androjavaprogrammingrat researching android malware features compare found actually support live video stream android camera aka spy camera one supports live camera needs activity therefore started hidden spy camera project live stream video android camera rtmp server without activity named live hidden camera live hidden camera action idea spy camera told main idea lack live stream libraries wanted know android camera works rats benefits spy camera searched found github repository containing android rats rat found live stream ability androrat needs activity video stream androrat found open source libraries used video streaming android get picture camera audio microphone encode sync finally send stream server list opensource video streaming libraries https //github.com/begeekmyfriend/yaseahttps //github.com/ant-media/livevideobroadcasterhttps //github.com/takusemba/rtmppublisherhttps //github.com/fyhertz/libstreaming libraries needs surfaceview graphical element fr displaying camera preview user android security mechanism camera preview displayed user capturing camera therefore searched hiding camera preview found https //github.com/kevalpatel2106/android-hidden-camera exactly overlays dummy surfaceview size 1 1. library used taking pictures streaming live hidden camera born idea hidden streaming found based android-hidden-camera yasea main work merging bit annoying finally done aim streaming server used ant media server community edition free opensource forked red5 manual running ant media server ant media server final stage creating library others use library source code available github repository https //github.com/mirsamantajbakhsh/livehiddencamera/ happy streaming live hidden camera action android camera java live rat rtmp stream currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,may 9 2019 onionfarm writeup anonymity networkscryptographywriteup onionfarm one challenges uutctf held 25-28 april 2019 urmia university technology challenge solved 4 teams following challenge details write discussed onionfarm challenge said flag inside following link http //uutctfysirwosxjx.onion/ onionfarm challenge uutctf2019 link hidden service starts http therefore opened tor using tor browser page loaded onionfarm hidden web service shown picture flag signed private key base64 sha-1 hash public key given signed flag y94qdvnr0koeu3j2cdqougyub+v1kzxmqiewnktf3g46teemkjc9mi4ox2wak/jnv433e9vwmaoxgc79hpz0wo6pfqurbtcoqyj3dczrkesgy0v4lcxke6r+nskzf0hxayvsmv6uixeqikoro+dwcwi2gvnvd4k+mw4vbhcxprs= sha-1 public key uutctfysirwosxjxadwzgzy34lrhjknq sha-1 signature familiar form instead first 16 chars sha-1 hash hidden web service name http //uutctfysirwosxjx.onion/ tor system version 2 onion addresses tor system onion link 16 first chars public key hidden service encoded base32 address therefore main task getting public key hidden service tor gives control port controlling tor stem python library interacting tor control port following code github link used getting hidden service descriptors information import sys import argparse import stem stem.control import controller def main parser argparse.argumentparser description= fetches tor hidden `` `` service descriptor sys.argv 0 parser.add_argument `` -p `` -- port type=int default=9051 help= tor controller port parser.add_argument 'onion_address type=str help='onion address args parser.parse_args controller.from_port port=args.port controller controller.authenticate try hs_descriptor controller.get_hidden_service_descriptor args.onion_address print hs_descriptor except stem.descriptorunavailable print `` descriptor found hidden service may offline return 1 __name__ '__main__ sys.exit main using code one fetch public key hidden service hs descriptor onionfarm rsa public key flag found public key problem rsa public key format openssl accepts pem format public key therefor need convert rsa public key readable format first base64 encoded text asn.1 format using tools asn1js public key bytes modulus gained online version asn1js available jsfiddle website asn.1 format public key 138865786359602944891762156467560871881909108828375427630579384292773 modulus 527482743 need form pem file public key modulus bytes form xml format following picture show modulus procedure done public key bytes base64 final stage need tool convert xml format pem used superdry developer final public key final public key pem format —–begin public key—– miggma0gcsqgsib3dqebaquaa4goadcbigkbgqdfwf6gxxdrpmhai/3epaagty3h hkneorjt3oxu6qbbpdkjjmtlew504bsnkzcxgwog+477wglab4ktncupq65eawxm tjzwx99ongoq32cuuhyjl7lguqvfzf1uqqjizpftjouzaxoxq9h3qe2wi0xrvfph yiioat+jhhng2jkknwieh3c/dw== —–end public key—– pass flag openssl verify flag using first need base64 decode flag decryption voila flag uutctf hidden_0ni0ns_should_be_harvested ctf tor uutctf writeup currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Cryptography,may 9 2019 onionfarm writeup anonymity networkscryptographywriteup onionfarm one challenges uutctf held 25-28 april 2019 urmia university technology challenge solved 4 teams following challenge details write discussed onionfarm challenge said flag inside following link http //uutctfysirwosxjx.onion/ onionfarm challenge uutctf2019 link hidden service starts http therefore opened tor using tor browser page loaded onionfarm hidden web service shown picture flag signed private key base64 sha-1 hash public key given signed flag y94qdvnr0koeu3j2cdqougyub+v1kzxmqiewnktf3g46teemkjc9mi4ox2wak/jnv433e9vwmaoxgc79hpz0wo6pfqurbtcoqyj3dczrkesgy0v4lcxke6r+nskzf0hxayvsmv6uixeqikoro+dwcwi2gvnvd4k+mw4vbhcxprs= sha-1 public key uutctfysirwosxjxadwzgzy34lrhjknq sha-1 signature familiar form instead first 16 chars sha-1 hash hidden web service name http //uutctfysirwosxjx.onion/ tor system version 2 onion addresses tor system onion link 16 first chars public key hidden service encoded base32 address therefore main task getting public key hidden service tor gives control port controlling tor stem python library interacting tor control port following code github link used getting hidden service descriptors information import sys import argparse import stem stem.control import controller def main parser argparse.argumentparser description= fetches tor hidden `` `` service descriptor sys.argv 0 parser.add_argument `` -p `` -- port type=int default=9051 help= tor controller port parser.add_argument 'onion_address type=str help='onion address args parser.parse_args controller.from_port port=args.port controller controller.authenticate try hs_descriptor controller.get_hidden_service_descriptor args.onion_address print hs_descriptor except stem.descriptorunavailable print `` descriptor found hidden service may offline return 1 __name__ '__main__ sys.exit main using code one fetch public key hidden service hs descriptor onionfarm rsa public key flag found public key problem rsa public key format openssl accepts pem format public key therefor need convert rsa public key readable format first base64 encoded text asn.1 format using tools asn1js public key bytes modulus gained online version asn1js available jsfiddle website asn.1 format public key 138865786359602944891762156467560871881909108828375427630579384292773 modulus 527482743 need form pem file public key modulus bytes form xml format following picture show modulus procedure done public key bytes base64 final stage need tool convert xml format pem used superdry developer final public key final public key pem format —–begin public key—– miggma0gcsqgsib3dqebaquaa4goadcbigkbgqdfwf6gxxdrpmhai/3epaagty3h hkneorjt3oxu6qbbpdkjjmtlew504bsnkzcxgwog+477wglab4ktncupq65eawxm tjzwx99ongoq32cuuhyjl7lguqvfzf1uqqjizpftjouzaxoxq9h3qe2wi0xrvfph yiioat+jhhng2jkknwieh3c/dw== —–end public key—– pass flag openssl verify flag using first need base64 decode flag decryption voila flag uutctf hidden_0ni0ns_should_be_harvested ctf tor uutctf writeup currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
WriteUp,may 9 2019 onionfarm writeup anonymity networkscryptographywriteup onionfarm one challenges uutctf held 25-28 april 2019 urmia university technology challenge solved 4 teams following challenge details write discussed onionfarm challenge said flag inside following link http //uutctfysirwosxjx.onion/ onionfarm challenge uutctf2019 link hidden service starts http therefore opened tor using tor browser page loaded onionfarm hidden web service shown picture flag signed private key base64 sha-1 hash public key given signed flag y94qdvnr0koeu3j2cdqougyub+v1kzxmqiewnktf3g46teemkjc9mi4ox2wak/jnv433e9vwmaoxgc79hpz0wo6pfqurbtcoqyj3dczrkesgy0v4lcxke6r+nskzf0hxayvsmv6uixeqikoro+dwcwi2gvnvd4k+mw4vbhcxprs= sha-1 public key uutctfysirwosxjxadwzgzy34lrhjknq sha-1 signature familiar form instead first 16 chars sha-1 hash hidden web service name http //uutctfysirwosxjx.onion/ tor system version 2 onion addresses tor system onion link 16 first chars public key hidden service encoded base32 address therefore main task getting public key hidden service tor gives control port controlling tor stem python library interacting tor control port following code github link used getting hidden service descriptors information import sys import argparse import stem stem.control import controller def main parser argparse.argumentparser description= fetches tor hidden `` `` service descriptor sys.argv 0 parser.add_argument `` -p `` -- port type=int default=9051 help= tor controller port parser.add_argument 'onion_address type=str help='onion address args parser.parse_args controller.from_port port=args.port controller controller.authenticate try hs_descriptor controller.get_hidden_service_descriptor args.onion_address print hs_descriptor except stem.descriptorunavailable print `` descriptor found hidden service may offline return 1 __name__ '__main__ sys.exit main using code one fetch public key hidden service hs descriptor onionfarm rsa public key flag found public key problem rsa public key format openssl accepts pem format public key therefor need convert rsa public key readable format first base64 encoded text asn.1 format using tools asn1js public key bytes modulus gained online version asn1js available jsfiddle website asn.1 format public key 138865786359602944891762156467560871881909108828375427630579384292773 modulus 527482743 need form pem file public key modulus bytes form xml format following picture show modulus procedure done public key bytes base64 final stage need tool convert xml format pem used superdry developer final public key final public key pem format —–begin public key—– miggma0gcsqgsib3dqebaquaa4goadcbigkbgqdfwf6gxxdrpmhai/3epaagty3h hkneorjt3oxu6qbbpdkjjmtlew504bsnkzcxgwog+477wglab4ktncupq65eawxm tjzwx99ongoq32cuuhyjl7lguqvfzf1uqqjizpftjouzaxoxq9h3qe2wi0xrvfph yiioat+jhhng2jkknwieh3c/dw== —–end public key—– pass flag openssl verify flag using first need base64 decode flag decryption voila flag uutctf hidden_0ni0ns_should_be_harvested ctf tor uutctf writeup currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,april 13 2019 vpn tor problem anonymity networks saw post tor stack exchange titled “ recommended use vpn along tor ” wanted post using vpn tor alongside previously posted socks rocks good bad ugly socks rocks post conclusion posts actually vpn hides ip isp vpn server know real ip address packets destination tor uses three extra software-based router order hide ip destination routers actually first router knows real ip know destination final router knows destination know real ip considered tor routers share information else identify session ip based use tor vpn vpn tor vpn tor connect vpn server tor vpn know real ip knows final router ip destination know requesting tor tor vpn connect tor vpn therefore vpn provider know real ip wont know destination first router know vpn ip real ip case 1 help want use tor access sites google banned access tor discussed socks rocks case 2 help privacy add extra layer ip access following picture depicts two cases case 1 vpn tor case 2 tor vpn tor vpn currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,march 8 2019 presenting hidden services onion harvester anonymity networksconference project onion harvester accepted offseconf 2019. onion harvester one projects working partly give brief presentation working mechanism tor network talked hidden services talked computations resources needed order find addresses uploaded video youtube channel photos video onion harvester hidden service currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Conference,march 8 2019 presenting hidden services onion harvester anonymity networksconference project onion harvester accepted offseconf 2019. onion harvester one projects working partly give brief presentation working mechanism tor network talked hidden services talked computations resources needed order find addresses uploaded video youtube channel photos video onion harvester hidden service currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
